IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
139.162.9.77,2053,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,338,19.71
139.162.62.39,443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,435,19.24
139.162.33.58,443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,315,18.43
172.104.189.251,2053,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,354,11.54
139.162.32.21,8443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,355,10.79
139.162.22.120,443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,366,10.28
172.232.226.134,8443,TRUE,CGK,ID,Asia Pacific,Jakarta,63949,Akamai Connected Cloud,396,9.76
172.232.226.134,2087,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,393,8.78
172.104.191.203,443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,352,7.68
172.232.251.185,8443,TRUE,CGK,ID,Asia Pacific,Jakarta,63949,Akamai Connected Cloud,394,3.85
139.162.9.77,8443,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,339,3.62
172.232.251.185,2053,TRUE,CGK,ID,Asia Pacific,Jakarta,63949,Akamai Connected Cloud,393,3.00
139.162.148.153,2053,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,784,2.42
139.162.48.174,10000,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,323,1.51
139.162.145.35,2053,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,810,1.38
139.162.148.153,2096,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,779,1.28
172.105.77.26,9001,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,800,1.17
139.162.148.153,8443,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,805,1.13
139.162.30.13,449,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,333,1.06
139.162.32.21,2063,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,342,0.74
66.175.208.74,2053,TRUE,EWR,US,North America,Newark,63949,Akamai Connected Cloud,871,0.58
45.79.147.129,2053,TRUE,EWR,US,North America,Newark,63949,Akamai Connected Cloud,884,0.57
139.162.181.39,443,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,827,0.47
66.228.47.232,443,TRUE,EWR,US,North America,Newark,63949,Akamai Connected Cloud,850,0.46
139.162.148.153,2083,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,830,0.46
139.162.148.153,2087,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,804,0.44
143.42.17.72,145,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,823,0.36
143.42.17.72,2083,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,817,0.35
172.104.249.170,443,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,935,0.34
172.104.234.201,2053,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,792,0.29
45.79.168.17,443,TRUE,EWR,US,North America,Newark,63949,Akamai Connected Cloud,890,0.29
50.116.63.40,2052,TRUE,EWR,US,North America,Newark,63949,Akamai Connected Cloud,863,0.29
143.42.17.72,2053,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,809,0.28
172.105.244.109,443,TRUE,FRA,DE,Europe,Frankfurt,63949,Akamai Connected Cloud,813,0.27
